rating_id,user_id,place_id,rating_place,rating_food,rating_service,place_name,place_address,place_features,parking_arrangements,accepted_payment_modes,cuisines
1,1077,135085,2,2,2,Tortas Locas Hipocampo,"{street: 'Venustiano Carranza 719 Centro', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",public,{'cash'},{'Fast_Food'}
2,1077,135038,2,2,1,Restaurant la Chalita,"{street: 'Guajardo Sn San Luis Potosi Centro', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'section', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'cash'},{}
3,1077,132825,2,2,2,puesto de tacos,"{street: 'esquina santos degollado y leon guzman', city: 's.l.p.', state: 's.l.p.', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
4,1077,135060,1,2,2,Restaurante Marisco Sam,"{street: 'Ignacio Allende 785 Centro', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'cash'},{'Seafood'}
5,1068,135104,1,1,2,vips,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'variety'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Mexican'}
6,1068,132740,0,0,0,Carreton de Flautas y Migadas,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
7,1068,132663,1,1,1,tacos abi,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
8,1068,132732,0,0,0,Taqueria EL amigo,"{street: 'Calle Mezquite Fracc Framboyanes', city: 'Cd Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'casual', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
9,1068,132630,1,1,1,palomo tec,"{street: 'blvrd emilio portes gil', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
10,1067,132584,2,2,2,Gorditas Dona Tota,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
11,1067,132733,1,1,1,Little Cesarz,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard', ' bank_debit_cards'}",{'Pizzeria'}
12,1067,132732,1,2,2,Taqueria EL amigo,"{street: 'Calle Mezquite Fracc Framboyanes', city: 'Cd Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'casual', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
