rating_id,user_id,place_id,rating_place,rating_food,rating_service,user_personal_traits,user_personality,user_preferences,user_other_demographics,user_fav_cuisines,user_fav_payment_method
1,1077,135085,2,2,2,"{birth_year: 1987, weight: 65, height: 1.71, marital_status: 'married'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'social drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'elegant', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},"{'VISA', 'cash', 'bank_debit_cards'}"
2,1077,135038,2,2,1,"{birth_year: 1987, weight: 65, height: 1.71, marital_status: 'married'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'social drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'elegant', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},"{'VISA', 'cash', 'bank_debit_cards'}"
3,1077,132825,2,2,2,"{birth_year: 1987, weight: 65, height: 1.71, marital_status: 'married'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'social drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'elegant', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},"{'VISA', 'cash', 'bank_debit_cards'}"
4,1077,135060,1,2,2,"{birth_year: 1987, weight: 65, height: 1.71, marital_status: 'married'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'social drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'elegant', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},"{'VISA', 'cash', 'bank_debit_cards'}"
5,1068,135104,1,1,2,"{birth_year: 1988, weight: 72, height: 1.57, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
6,1068,132740,0,0,0,"{birth_year: 1988, weight: 72, height: 1.57, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
7,1068,132663,1,1,1,"{birth_year: 1988, weight: 72, height: 1.57, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
8,1068,132732,0,0,0,"{birth_year: 1988, weight: 72, height: 1.57, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
9,1068,132630,1,1,1,"{birth_year: 1988, weight: 72, height: 1.57, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
10,1067,132584,2,2,2,"{birth_year: 1987, weight: 92, height: 1.73, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'public'}","{religion: 'Christian', employment: 'student'}",{'Mexican'},{'cash'}
11,1067,132733,1,1,1,"{birth_year: 1987, weight: 92, height: 1.73, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'public'}","{religion: 'Christian', employment: 'student'}",{'Mexican'},{'cash'}
12,1067,132732,1,2,2,"{birth_year: 1987, weight: 92, height: 1.73, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'public'}","{religion: 'Christian', employment: 'student'}",{'Mexican'},{'cash'}
13,1067,132630,1,0,1,"{birth_year: 1987, weight: 92, height: 1.73, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'public'}","{religion: 'Christian', employment: 'student'}",{'Mexican'},{'cash'}
14,1067,135104,0,0,0,"{birth_year: 1987, weight: 92, height: 1.73, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'public'}","{religion: 'Christian', employment: 'student'}",{'Mexican'},{'cash'}
15,1067,132560,1,0,0,"{birth_year: 1987, weight: 92, height: 1.73, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'public'}","{religion: 'Christian', employment: 'student'}",{'Mexican'},{'cash'}
16,1103,132584,1,2,1,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
17,1103,132732,0,0,2,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
18,1103,132630,1,2,0,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
